RAF,n,p,nodes,edges,SCC,WC,diameter,Bet_Centrality,coloring
1,2,0.20020020020020018,14,34,1,1,6,0.16025641025641027,2
1,2,0.2012012012012012,14,38,1,1,8,0.16483516483516483,3
1,2,0.2022022022022022,14,42,1,1,6,0.1346153846153846,3
1,2,0.2032032032032032,14,44,1,1,5,0.1291208791208791,2
1,2,0.2042042042042042,14,42,1,1,7,0.1456043956043956,3
1,2,0.20520520520520522,14,40,1,1,6,0.141025641025641,3
0,2,0.2062062062062062,14,42,1,1,8,0.14835164835164832,3
1,2,0.2072072072072072,14,38,1,1,7,0.1538461538461538,3
0,2,0.2082082082082082,14,36,1,1,7,0.15750915750915748,3
1,2,0.2092092092092092,14,42,1,1,6,0.13278388278388278,3
1,2,0.21021021021021022,14,36,1,1,6,0.14652014652014653,2
1,2,0.2112112112112112,14,46,1,1,5,0.13095238095238096,3
1,2,0.2122122122122122,14,46,1,1,7,0.14194139194139194,3
0,2,0.2132132132132132,14,42,1,1,6,0.13553113553113555,3
1,2,0.21421421421421422,14,50,1,1,6,0.12545787545787546,3
1,2,0.21521521521521522,14,40,1,1,7,0.14926739926739924,3
0,2,0.21621621621621623,14,40,1,1,6,0.14926739926739924,3
1,2,0.2172172172172172,14,42,1,1,6,0.13003663003663005,3
1,2,0.2182182182182182,14,36,1,1,8,0.16575091575091574,3
1,2,0.21921921921921922,14,40,1,1,6,0.15476190476190474,2
0,2,0.22022022022022023,14,42,1,1,8,0.15018315018315018,2
1,2,0.22122122122122123,14,42,1,1,7,0.15201465201465197,2
1,2,0.2222222222222222,14,36,1,1,6,0.1465201465201465,3
0,2,0.22322322322322322,14,34,1,1,6,0.16666666666666666,3
1,2,0.22422422422422422,14,36,1,1,7,0.16483516483516483,3
1,2,0.22522522522522523,14,44,1,1,6,0.13003663003663005,3
1,2,0.22622622622622623,14,38,1,1,5,0.13186813186813187,3
1,2,0.2272272272272272,14,38,1,1,7,0.14835164835164835,3
0,2,0.22822822822822822,14,42,1,1,8,0.14194139194139194,2
1,2,0.22922922922922923,14,46,1,1,6,0.13003663003663005,3
1,2,0.23023023023023023,14,48,1,1,5,0.12087912087912088,2
1,2,0.23123123123123124,14,42,1,1,6,0.14285714285714285,3
1,2,0.23223223223223222,14,32,1,1,6,0.15109890109890106,3
1,2,0.23323323323323322,14,44,1,1,6,0.1346153846153846,3
1,2,0.23423423423423423,14,38,1,1,7,0.15750915750915748,2
0,2,0.23523523523523523,14,40,1,1,6,0.14102564102564102,3
1,2,0.23623623623623624,14,36,1,1,6,0.1620879120879121,3
0,2,0.23723723723723725,14,34,1,1,10,0.1813186813186813,3
1,2,0.23823823823823823,14,40,1,1,6,0.14468864468864465,3
1,2,0.23923923923923923,14,42,1,1,7,0.152014652014652,3
1,2,0.24024024024024024,14,48,1,1,5,0.11721611721611723,3
0,2,0.24124124124124124,14,42,1,1,8,0.14468864468864467,3
0,2,0.24224224224224225,14,38,1,1,8,0.15659340659340656,3
1,2,0.24324324324324323,14,44,1,1,5,0.1163003663003663,3
0,2,0.24424424424424424,14,40,1,1,8,0.1474358974358974,3
